Number,Name,LV,Job,Strength
1,ソルジャー,7,Soldier,Weak
2,ガンナー,5,Gunner,Weak
3,ガンナー,10,Gunner,Weak
4,ソルジャー,7,Soldier,Weak
5,ファイター,5,Fighter,Weak
6,ガンナー,5,Gunner,Weak
7,アサシン,1,Assassin,Strong
8,ガンナー,10,Gunner,Weak
9,ソルジャー,7,Soldier,Weak
10,ガンナー,5,Gunner,Weak
11,レア,1,Sniper,Strong
12,ソルジャー,5,Soldier,Weak
13,ソルジャー,5,Soldier,Weak
14,ソルジャー,5,Soldier,Weak
15,ソルジャー,5,Soldier,Weak
16,マーセナリー,7,Mercenary,Weak
17,マーセナリー,7,Mercenary,Weak
18,ガンナー,10,Gunner,Weak
19,アサシン,1,Assassin,Strong
20,ガンナー,10,Gunner,Weak
21,ソルジャー,10,Soldier,Weak
22,ソルジャー,10,Soldier,Weak
23,ガードン,5,General,Weak
24,ウォーリア,5,Warrior,Strong
25,ソルジャー,10,Soldier,Weak
26,ソルジャー,10,Soldier,Weak
27,ファイター,7,Fighter,Weak
28,ファイター,7,Fighter,Weak
29,ガンナー,10,Gunner,Weak
30,スナイパー,1,Sniper,Strong
31,ガンナー,10,Gunner,Weak
32,ファイター,10,Fighter,Weak
33,マーシャル,1,Marshall,Strong
34,ウォーリア,5,Warrior,Strong
