StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions,BG,NalOnOff,Nalation,NameLR
0,0,ケン,ヒュー、戦い方は覚えてるか？,3,0,0,2,ON,OFF,OFF,OFF,0,Story1Before,0,0,1,チュートリアル,Story,Boss,1,0,0,0
1,1,ケン,お前を囲ってるカーソルがあるだろ,3,0,0,2,ON,OFF,OFF,OFF,0,Story1Before,0,0,,赤光、白熱,,,,,,0
,2,ケン,それは十字キーで動かせるんだ　試しに俺を囲んでみてくれ,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,3,ケン,いいぞ　そのまま○を押してくれ,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,4,ケン,味方にカーソルを合わせて○,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,5,ケン,これでキャラを移動させられる,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,6,ケン,四角のところまで俺を運んでくれ,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,7,ケン,移動したあとにこういうウィンドウが出る,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,8,ケン,とりあえず待機な！,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,9,ケン,次は攻撃だな　俺を敵の隣まで運んでくれ,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,10,ケン,このまま攻撃コマンドだ！,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,11,ケン,よし、こっちの勝ちだな！,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,12,ケン,なに、お前も戦いたいって？,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,13,ケン,じゃああのガンナーを倒してくれ,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,14,ケン,俺らファイターは近接戦闘を得意とするが,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,15,ケン,お前たちガンナーは銃を使った遠距離攻撃ができる,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,16,ケン,赤いのが俺たちが攻撃できる範囲だ　とにかく、あいつを倒せ！,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,17,ケン,よっしゃ、相手は残り一人だな！,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,18,ケン,こっちが一人動いたら相手も一人動く,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,19,ケン,それを繰り返して敵のボス…今日はキースをぶっ倒せば俺たちの勝利だ,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,20,ケン,よろしく頼むぜ組織長ジュニア！,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,21,キース,ふん、ここまできたか！この凄腕、キースに勝てるかな！？,3,0,0,2,OFF,OFF,OFF,ON,0,,0,0,,,,,,,,1
,22,キース,ちょ、ちょっと待て　接近戦は無理なんだよ！,3,0,0,2,OFF,OFF,OFF,ON,0,,0,0,,,,,,,,1
,23,キース,くそ、俺の負けか…　,3,0,0,2,OFF,OFF,OFF,ON,0,,0,0,,,,,,,,1
,24,ケン,やったなヒュー！俺らの勝利だ,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,25,ケン,今回は訓練だが　実戦はもっと厳しいときくぜ,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
,26,ケン,まあ、ここでやったことを活かし覇者を目指すしかねえな,3,0,0,2,ON,OFF,OFF,OFF,0,,0,0,,,,,,,,0
