StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions
2,0,ヒュー,北のバイク集団か,0,0,0,0,ON,OFF,OFF,OFF,0,Story2After,17,18,1,殺人機械,Story,Boss
,1,ジェーコブ,私は噂で聞いただけだが。北方で暴れまわる組織があると,0,0,0,5,SHADE,OFF,OFF,ON,0,,17,18,,,,
,2,ジェーコブ,ヤツらを倒せれば目的に近づけるのではないか？,0,0,0,5,SHADE,OFF,OFF,SHADE,0,,17,18,,,,
,3,ヒュー,…違いない,0,0,0,5,ON,OFF,OFF,SHADE,0,,17,18,,,,
,4,シングス,"おい、""疾風""！",6,0,0,11,OFF,OFF,OFF,ON,0,,17,18,,,,
,5,イゴール,…なんすか、ボス,6,0,0,11,ON,OFF,OFF,SHADE,0,,17,18,,,,
,6,シングス,俺たちが何者かわかっているのか？バイクは友達じゃない、商売道具だ,6,0,0,11,SHADE,OFF,OFF,ON,0,,17,18,,,,
,7,イゴール,まあ、そうですねえ…,6,0,0,11,ON,OFF,OFF,SHADE,0,,17,18,,,,
,8,シングス,俺たちは略奪のためにバイクを使うんだ、それだけは覚えておけよ,6,0,0,11,SHADE,OFF,OFF,ON,0,,17,18,,,,
,9,イゴール,はいはい…,6,0,0,11,ON,OFF,OFF,SHADE,0,,17,18,,,,
,10,イゴール,…まいったなあ…,6,0,0,7,ON,OFF,OFF,OFF,0,,17,18,,,,
,11,サイモン,"どうした""疾風""？",6,0,0,7,SHADE,OFF,OFF,ON,0,,17,18,,,,
,12,イゴール,"…なんだよ、""エスパー""。いや、俺はただバイクを走らせたくてここに入ったが…まさかこんなことをやらされるなんてな",6,0,0,7,SHADE,OFF,OFF,SHADE,0,,17,18,,,,
,13,サイモン,…それは何度も聞いた,6,0,0,7,ON,OFF,OFF,ON,0,,17,18,,,,
,14,サイモン,ところで、これは俺の勘なんだが、どうも怪しいヤツらが近づいてきてるらしい,6,0,0,7,SHADE,OFF,OFF,ON,0,,17,18,,,,
,15,イゴール,怪しい？,6,0,0,7,ON,OFF,OFF,SHADE,0,,17,18,,,,
,16,イゴール,…まいったなあ…,6,0,0,7,ON,OFF,OFF,SHADE,0,,17,18,,,,
,17,イゴール,おい、あんた！,0,0,0,6,SHADE,OFF,OFF,ON,0,,27,28,,,,
,18,ヒュー,な、なんだ急に！,0,0,0,6,ON,OFF,OFF,SHADE,0,,27,28,,,,
,19,イゴール,あんた、バイクは好きか？,0,0,0,6,SHADE,OFF,OFF,ON,0,,27,28,,,,
,20,ヒュー,…は？,0,0,0,6,ON,OFF,OFF,SHADE,0,,27,28,,,,
,21,イゴール,いや、走りたくてパーシングに入ったものの、やってることは泥棒だ。,0,0,0,6,SHADE,OFF,OFF,ON,0,,27,28,,,,
,22,イゴール,もっと俺は自由に走りたいんだ,0,0,0,6,SHADE,OFF,OFF,ON,0,,27,28,,,,
,23,ヒュー,あー…俺たちは今、ハイランドを目指してる。そこだったら自由に走れるんじゃないか？,0,0,0,6,ON,OFF,OFF,SHADE,0,,27,28,,,,
,24,イゴール,…お！面白そうだな、俺も連れてってくれ！,0,0,0,6,SHADE,OFF,OFF,ON,0,,27,28,,,,
,25,イゴール,あ、燃料はそっちもちで頼む,0,0,0,6,SHADE,OFF,OFF,ON,0,,27,28,,,,
,26,ヒュー,…断る余裕もなかった。なんて速さだ,0,0,0,6,ON,OFF,OFF,OFF,0,,27,28,,,,
,27,イゴール,おい、「エスパー」！,6,0,0,7,ON,OFF,OFF,SHADE,0,,35,36,,,,
,28,サイモン,"なんだ""疾風""？",6,0,0,7,SHADE,OFF,OFF,ON,0,,35,36,,,,
,29,イゴール,お前もこっちにこい！ハイランドに行きたいだろ！,6,0,0,7,ON,OFF,OFF,SHADE,0,,35,36,,,,
,30,サイモン,…は？,6,0,0,7,SHADE,OFF,OFF,ON,0,,35,36,,,,
,31,イゴール,俺はパーシングよりもJPZを選ぶぞ！お前もそうしろ！,6,0,0,7,ON,OFF,OFF,SHADE,0,,35,36,,,,
,32,サイモン,…うーん。俺の予想だと、そのJPZが良いと…,6,0,0,7,SHADE,OFF,OFF,ON,0,,35,36,,,,
,33,イゴール,"よし、決まりだな！行くぞ""エスパー""！",6,0,0,7,ON,OFF,OFF,SHADE,0,,35,36,,,,
,34,サイモン,"…なんて強引な。まさに""疾風""…",6,0,0,7,SHADE,OFF,OFF,ON,0,,35,36,,,,
,35,シングス,な、なんだてめえら！俺らの邪魔をしようってのか！,0,0,0,11,OFF,OFF,OFF,ON,0,,36,37,,,,
,36,シングス,"""疾風""！てめえ裏切ったか！",6,0,0,11,SHADE,OFF,OFF,ON,0,,38,39,,,,
,37,イゴール,うるせー、バイクの楽しさ知らねーヤツにこれ以上ついてってられっか！,6,0,0,11,ON,OFF,OFF,SHADE,0,,38,39,,,,
,38,シングス,"""エスパー""、なぜ俺に武器を向ける？",7,0,0,11,SHADE,OFF,OFF,ON,0,,40,41,,,,
,39,イゴール,…俺の予想だが、ここで死ぬやつについていくよりもいいと思ったんでね,7,0,0,11,ON,OFF,OFF,SHADE,0,,40,41,,,,
,40,シングス,そんなバカな…,0,0,0,11,OFF,OFF,OFF,ON,1,,0,41,,,,
,41,,,,,,,,,,,,,,,,,,
