StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions,BG,Nalation,NalOnOff,NameLR
5,0,,…侵入者が現れました,11,0,0,16,ON,OFF,OFF,OFF,0,Story5After,10,10,1,異端からの反撃,Story,Boss,5,4,0,0
1,1,ガードン,勇者紛いか、ただのバカか…どちらにせよ我らがやることは一つ,11,0,0,16,SHADE,OFF,OFF,ON,0,Story5Before,10,10,,赤光、白熱,,,,,,1
,2,ガードン,ネズミ一匹、ここを通すわけにはいかんな,11,0,0,16,SHADE,OFF,OFF,ON,0,,10,10,,,,,,,,1
,3,ガードン,部下の配置はできているか？,11,0,0,16,SHADE,OFF,OFF,ON,0,,10,10,,,,,,,,1
,4,,問題ありません。ただ、最近入った雇われのスナイパーですが,11,0,0,16,ON,OFF,OFF,SHADE,0,,10,10,,,,,,,,0
,5,ガードン,ああ、大陸一とか自称するあれか　それがどうしたのだ,11,0,0,16,OFF,OFF,OFF,ON,0,,10,10,,,,,,,,1
,6,,あまり仕事にやる気がないようで,11,0,0,16,ON,OFF,OFF,SHADE,0,,10,10,,,,,,,,0
,7,ガードン,…働き次第では始末すればいいだけの話だ、もう行け！,11,0,0,16,SHADE,OFF,OFF,ON,0,,10,10,,,,,,,,1
,8,ザコ,はっ,11,0,0,16,ON,OFF,OFF,SHADE,0,,10,10,,,,,,,,0
,9,ガードン,…さて、久々の戦か,11,0,0,16,ON,OFF,OFF,OFF,0,,10,10,,,,,,,,0
,10,レア,暗くてジメジメ、こんなとこで働くなんて…,0,0,0,17,OFF,OFF,OFF,ON,0,,12,12,,,,,,,,1
,11,レア,大陸一の名が泣くってね,0,0,0,17,OFF,OFF,OFF,ON,0,,12,12,,,,,,,,1
,12,レア,あんたが侵入者？,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,13,ヒュー,誰だお前,0,0,0,17,ON,OFF,OFF,OFF,0,,26,26,,,,,,,,0
,14,レア,私は大陸一の暗殺者、レア　知らないの？,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,15,ヒュー,…知らねえ、そもそも大陸ってなんだ,0,0,0,17,ON,OFF,OFF,OFF,0,,26,26,,,,,,,,0
,16,レア,…銃使いで私を知らないってモグリ？,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,17,レア,まあいい。あんた、私を雇う気はない？,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,18,ヒュー,…戦力が増えるのは嬉しいが,0,0,0,17,ON,OFF,OFF,SHADE,0,,26,26,,,,,,,,0
,19,レア,あんたたち、ハイランドを目指すんでしょ,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,20,レア,私もそーなの　目的が同じなら協力したほうがいい,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,21,ヒュー,まあ。金なら着いた後、親父からもらえると思うけど,0,0,0,17,ON,OFF,OFF,SHADE,0,,26,26,,,,,,,,0
,22,レア,親父？,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,23,ヒュー,レナード・エヴァンス。知らんのか？,0,0,0,17,ON,OFF,OFF,SHADE,0,,26,26,,,,,,,,0
,24,レア,えっ？ってことはあんたは…,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,25,レア,オーケー、じゃあ後払いで。よろしく頼むわ,0,0,0,17,SHADE,OFF,OFF,ON,0,,26,26,,,,,,,,1
,26,ガードン,ここを抜けるつもりか？　ならこの私を倒してみろ！,0,0,0,16,OFF,OFF,OFF,ON,0,,27,27,,,,,,,,1
,27,ガードン,フン、やはり裏切ったか！これだから派遣は信用ならん,17,0,0,16,SHADE,OFF,OFF,ON,0,,30,30,,,,,,,,1
,28,レア,しょーもないところに膠着して、それなりの地位で満足するような人間じゃないから,17,0,0,16,ON,OFF,OFF,SHADE,0,,30,30,,,,,,,,1
,29,レア,大陸一の力、思い知るが良い！,17,0,0,16,ON,OFF,OFF,SHADE,0,,30,30,,,,,,,,0
,30,ガードン,ぐッ…私が敗れるか…だが、その程度ではお前たちは…すぐに死ぬ！地獄で待っているぞ！,0,0,0,16,OFF,OFF,OFF,ON,1,,0,30,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,1
