StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions
1,0,ヒュー,…退屈だな,0,0,0,0,ON,OFF,OFF,OFF,0,Battle1,0,30,0,赤光、白熱,Stage1_ver2,Story
,1,アイン,ヒュー！本部から手紙だ,0,0,0,1,SHADE,OFF,OFF,ON,0,Battle1,0,30,,,,
,2,ヒュー,本部？,0,0,0,1,ON,OFF,OFF,SHADE,0,Battle1,0,30,,,,
,3,ヒュー,レナード・エヴァンス…  今更、組織長様が俺に何の用だ,0,0,0,1,ON,OFF,OFF,SHADE,0,Battle1,0,30,,,,
,4,アイン,まあまあ、親父さんが直接手紙をよこすんだ。 見る価値はある,0,0,0,1,SHADE,OFF,OFF,ON,0,Battle1,0,30,,,,
,5,ヒュー,なになに…,0,0,0,1,ON,OFF,OFF,SHADE,0,Battle1,0,30,,,,
,6,,親愛なる息子 ,0,0,0,1,ON,OFF,OFF,OFF,0,Battle1,0,30,,,,
,7,,久しぶりの連絡がこのような形になってすまない,0,0,0,1,ON,OFF,OFF,OFF,0,Battle1,0,30,,,,
,8,,強くなったか、ヒューよ。 お前に命令を与える,0,0,0,1,ON,OFF,OFF,OFF,0,Battle1,0,30,,,,
,9,,敵対組織を撃滅し、上の世界ハイランドを目指せ…そこで私は待っている,0,0,0,1,ON,OFF,OFF,OFF,0,Battle1,0,30,,,,
,10,,レナード・エヴァンス ,0,0,0,1,ON,OFF,OFF,OFF,0,Battle1,0,30,,,,
,11,アイン,…命令か。勝手な話だ,0,0,0,1,SHADE,OFF,OFF,ON,0,Battle1,0,30,,,,
,12,ヒュー,…アイン、俺はこの言葉に乗ろうと思う,0,0,0,1,ON,OFF,OFF,SHADE,0,Battle1,0,30,,,,
,13,アイン,はぁ？… 良く考えろ、俺たちに実戦に出る力なんてあるか？,0,0,0,1,SHADE,OFF,OFF,ON,0,Battle1,0,30,,,,
,14,ヒュー,そうかもしれないが、俺たちは毎日だーいじな訓練をこなしてきたんだぞ？,0,0,0,1,ON,OFF,OFF,SHADE,0,Battle1,0,30,,,,
,15,ヒュー,それにこのまま生きていてもしょうがない…,0,0,0,1,ON,OFF,OFF,SHADE,0,Battle1,0,30,,,,
,16,アイン,気持ちはわかるが… ,0,0,0,1,SHADE,OFF,OFF,ON,0,Battle1,0,30,,,,
,17,キース,面白そうな話だ。 別の組織を潰せば金も名声も手に入る。,0,0,2,1,SHADE,OFF,OFF,SHADE,0,Battle1,0,30,,,,
,18,キース,ハイランドならいい暮らしができるはず,0,0,2,1,SHADE,OFF,ON,SHADE,0,Battle1,0,30,,,,
,19,ケン,そうだ…こんなところにいては俺の拳が腐ってしまう。,0,3,2,1,SHADE,OFF,SHADE,SHADE,0,Battle1,0,30,,,,
,20,ケン,それに組織長直々の命令だ。 成功すれば何かあるに違いない…,0,3,2,1,SHADE,ON,SHADE,SHADE,0,Battle1,0,30,,,,
,21,ヒュー,…これは好機だ！ 俺たちを”貴族のお嬢様”とバカにするヤツら…,0,3,2,1,ON,SHADE,SHADE,SHADE,0,Battle1,0,30,,,,
,22,ヒュー,敵を倒し、組織長に認められた時、ヤツらはなんて言うだろうな？ ,0,3,2,1,ON,SHADE,SHADE,SHADE,0,Battle1,0,30,,,,
,23,ヒュー,みんな、俺についてきてくれるか！,0,3,2,1,ON,SHADE,SHADE,SHADE,0,Battle1,0,30,,,,
,24,キース,乗った！,0,3,2,1,SHADE,SHADE,ON,SHADE,0,Battle1,0,30,,,,
,25,ケン,俺も！,0,3,2,1,SHADE,ON,SHADE,SHADE,0,Battle1,0,30,,,,
,26,アイン,”貴族”か…乗ってやる！,0,3,2,1,SHADE,SHADE,SHADE,ON,0,Battle1,0,30,,,,
,27,ゲイリー,金にならん”誓い”とやらは終わったか？,0,3,2,4,OFF,OFF,OFF,ON,0,Battle1,0,30,,,,
,28,ヒュー,誰だお前,0,3,2,4,ON,OFF,OFF,SHADE,0,Battle1,0,30,,,,
,29,ゲイリー,俺はレナードに雇われたゲイリー。 …まあ、お前ら”お嬢様方の召使い”ってとこだ,0,3,2,4,SHADE,OFF,OFF,ON,0,Battle1,0,30,,,,
,30,アイン,…はあ。何が何でも行けってことか… ,0,1,2,4,SHADE,ON,OFF,SHADE,1,Battle1,0,1,,,,
