StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions,BG
2,0,ヒュー,北のバイク集団か,0,0,0,0,ON,OFF,OFF,OFF,0,Battle2,0,17,0,殺人機械,Stage2,Boss,2
2,1,ジェーコブ,私は噂で聞いただけだが。北方で暴れまわる組織があると,0,0,0,5,SHADE,OFF,OFF,ON,0,,0,17,,殺人機械,,,
2,2,ジェーコブ,ヤツらを倒せれば目的に近づけるのではないか？,0,0,0,5,SHADE,OFF,OFF,SHADE,0,,0,17,,殺人機械,,,
2,3,ヒュー,…違いない,0,0,0,5,ON,OFF,OFF,SHADE,0,,0,17,,殺人機械,,,
2,4,,～パーシング～,0,0,0,0,OFF,OFF,OFF,OFF,0,,0,17,,殺人機械,,,
2,5,シングス,"おい、""疾風""！",6,0,0,13,OFF,OFF,OFF,ON,0,,0,17,,殺人機械,,,
2,6,イゴール,…なんすか、ボス,6,0,0,13,ON,OFF,OFF,SHADE,0,,0,17,,殺人機械,,,
2,7,シングス,俺たちが何者かわかっているのか？バイクは友達じゃない、商売道具だ,6,0,0,13,SHADE,OFF,OFF,ON,0,,0,17,,殺人機械,,,
2,8,イゴール,まあ、そうですねえ…,6,0,0,13,ON,OFF,OFF,SHADE,0,,0,17,,殺人機械,,,
2,9,シングス,俺たちは略奪のためにバイクを使うんだ、それだけは覚えておけよ,6,0,0,13,SHADE,OFF,OFF,ON,0,,0,17,,殺人機械,,,
2,10,イゴール,はいはい…,6,0,0,13,ON,OFF,OFF,SHADE,0,,0,17,,殺人機械,,,
2,11,イゴール,…まいったなあ…,6,0,0,7,ON,OFF,OFF,OFF,0,,0,17,,殺人機械,,,
2,12,サイモン,"どうした""疾風""？",6,0,0,7,SHADE,OFF,OFF,ON,0,,0,17,,殺人機械,,,
2,13,イゴール,"…なんだよ、""エスパー""。いや、俺はただバイクを走らせたくてここに入ったが…まさかこんなことをやらされるなんてな",6,0,0,7,SHADE,ON,OFF,SHADE,0,,0,17,,殺人機械,,,
2,14,サイモン,…それは何度も聞いた,6,0,0,7,ON,OFF,OFF,ON,0,,0,17,,殺人機械,,,
2,15,サイモン,ところで、これは俺の勘なんだが、どうも怪しいヤツらが近づいてきてるらしい,6,0,0,7,SHADE,OFF,OFF,ON,0,,0,17,,殺人機械,,,
2,16,イゴール,怪しい？,6,0,0,7,ON,OFF,OFF,SHADE,0,,0,17,,殺人機械,,,
2,17,イゴール,…まいったなあ…,6,0,0,7,ON,OFF,OFF,SHADE,1,,0,17,,殺人機械,,,
