StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions,BG,Nalation
5,0,キース,…やっちまった。俺らがあのフウスイを倒しちまうなんて…,0,0,0,2,SHADE,OFF,OFF,ON,0,Story5Before,0,9,0,異端からの反撃,SaveData,Boss,4,3
5,1,ヒュー,それだけ強くなったってことだ。,0,0,0,2,ON,OFF,OFF,SHADE,0,,,,,異端からの反撃,,,,
5,2,ヒュー,いよいよハイランドも見えてきた…,0,0,0,2,ON,OFF,OFF,ON,0,,,,,異端からの反撃,,,,
5,3,キース,見ろよ。独裁者を倒した俺らを、民どもが称えてやがる。,0,0,0,2,SHADE,OFF,OFF,ON,0,,,,,異端からの反撃,,,,
5,4,キース,覇者ヒューに栄光あれと…,0,0,0,2,SHADE,OFF,OFF,ON,0,,,,,異端からの反撃,,,,
5,5,ヒュー,…救世主ってことか　まあ、悪い気はしない,0,0,0,2,ON,OFF,OFF,SHADE,0,,,,,異端からの反撃,,,,
5,6,ヒュー,ところで、どこから上に行けるんだっけ？,0,0,0,2,ON,OFF,OFF,OFF,0,,,,,異端からの反撃,,,,
5,7,アイン,見ろよ、あの坑道。あそこを登ってけば行けるぜ,0,0,0,1,SHADE,OFF,OFF,ON,0,,,,,異端からの反撃,,,,
5,8,ヒュー,…あれか。フウスイはこれを守っていたのか…？,0,0,0,1,ON,OFF,OFF,SHADE,0,,,,,異端からの反撃,,,,
5,9,ヒュー,というか、なんであれが外につながってるなんて分かるんだ？,0,0,0,1,ON,OFF,OFF,SHADE,0,,,,,異端からの反撃,,,,
5,10,アイン,…俺はあそこを通ってこっちに来たからな。,0,0,0,1,SHADE,OFF,OFF,ON,0,,,,,異端からの反撃,,,,
5,11,アイン,気をつけろよ、坑道を守るは精鋭部隊。この街で準備してから行ったほうがいい,0,0,0,1,SHADE,OFF,OFF,ON,0,,,,,異端からの反撃,,,,
5,12,ヒュー,…アイン、お前ハイランド出身なのか？,0,0,0,1,ON,OFF,OFF,SHADE,0,,,,,異端からの反撃,,,,
5,13,ヒュー,まあ、いいや。しっかり準備してから向かおう！,0,0,0,1,ON,OFF,OFF,SHADE,1,,,,,異端からの反撃,,,,
