StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions,BG,Nalation,NalOnOff
4,0,フウスイ,やれ！,11,11,0,15,ON,OFF,OFF,ON,0,Battle4,0,9,0,孤立の涙,Stage4,Boss,4,3,1
4,1,逃げる人,うわーやめてくれー！,11,11,0,15,OFF,OFF,OFF,SHADE,0,,,,,孤立の涙,,,,,
4,2,フウスイ,やめねえ,11,11,0,15,OFF,OFF,OFF,ON,0,,,,,孤立の涙,,,,,
4,3,逃げる人,ぐわ！,11,11,0,15,OFF,ON,OFF,SHADE,0,,,,,孤立の涙,,,,,
4,4,他の人,ひぃいい…,11,11,0,15,ON,SHADE,OFF,SHADE,0,,,,,孤立の涙,,,,,
4,5,フィーナ,…またフウスイが…,9,10,0,15,OFF,OFF,OFF,SHADE,0,,,,,孤立の涙,,,,,
4,6,フウスイ,…なんか言ったか？,9,10,0,15,ON,OFF,OFF,ON,0,,,,,孤立の涙,,,,,
4,7,フィーナ,も、もうやめてください！あなたのせいで、この街は…,9,10,0,15,SHADE,OFF,OFF,SHADE,0,,,,,孤立の涙,,,,,
4,8,フウスイ,ああ？　…俺様は耳が悪いんだ　もう一回言ってくれるか,9,10,0,15,ON,OFF,OFF,ON,0,,,,,孤立の涙,,,,,
4,9,フィーナ,だから…,9,10,0,15,ON,OFF,OFF,SHADE,0,,,,,孤立の涙,,,,,
4,10,ヴィック,…いや、なんでもないっす　天下のフウスイ様に逆らうヤツなんておりませんわ,9,10,0,15,SHADE,ON,OFF,ON,0,,,,,孤立の涙,,,,,
4,11,フウスイ,…フン　ウジ虫どもが,9,10,0,15,SHADE,SHADE,OFF,ON,0,,,,,孤立の涙,,,,,
4,12,フウスイ,てめーらは俺様が生かしておいてるんだ　俺様がいかに偉大か他のバカどもに知らしめてやるためにな,9,10,0,15,SHADE,SHADE,OFF,ON,0,,,,,孤立の涙,,,,,
4,13,フウスイ,それを忘れるんじゃねーぜ,9,10,0,15,SHADE,SHADE,OFF,ON,0,,,,,孤立の涙,,,,,
4,14,ヴィック,フウ…あぶねえあぶねえ,9,0,0,10,SHADE,OFF,OFF,ON,0,,,,,孤立の涙,,,,,
4,15,ヴィック,ったくなんであんなことを…,9,0,0,10,OFF,OFF,OFF,ON,0,,,,,孤立の涙,,,,,
4,16,フィーナ,このまま黙って見てろっていうの？私には耐えられない,9,0,0,10,ON,OFF,OFF,SHADE,0,,,,,孤立の涙,,,,,
4,17,ヴィック,余計なことは考えんじゃねーぜ　最近銃を覚えたからって…,9,0,0,10,SHADE,OFF,OFF,ON,0,,,,,孤立の涙,,,,,
4,18,フィーナ,…はあ。こんな時、キースがいてくれれば。,9,0,0,10,ON,OFF,OFF,SHADE,0,,,,,孤立の涙,,,,,
4,19,ヴィック,まーたあいつの話か。金のために暗殺組織に入るようなヤツなんざ、とっとと忘れちまいな,9,0,0,10,SHADE,OFF,OFF,ON,0,,,,,孤立の涙,,,,,
4,20,フィーナ,…,9,0,0,10,ON,OFF,OFF,SHADE,1,,,,,孤立の涙,,,,,
